project_full_name,fix_commit_hash,buggy_commit_hash,bug_id,bug_type,number_loc_added,number_loc_deleted
quantumlib/Cirq,504bdbb9bb30249d85ecf7ba199b047150ee33f3,504bdbb9bb30249d85ecf7ba199b047150ee33f3^1,1612,Quantum,18,8
aws/amazon-braket-sdk-python,ab63ab5fd81d1432f178d6ec3c3a061adfe62145,ab63ab5fd81d1432f178d6ec3c3a061adfe62145^1,1633,Quantum,149,20
aws/amazon-braket-sdk-python,29ccb5a17dbc05e2a5f8e9e5da23b9410eec1fbe,29ccb5a17dbc05e2a5f8e9e5da23b9410eec1fbe^1,1651,Quantum,102,5
aws/amazon-braket-sdk-python,ef5e18ea5c88b5ee30d8012c790e06c78da810a8,ef5e18ea5c88b5ee30d8012c790e06c78da810a8^1,1652,Classical,32,12
aws/amazon-braket-sdk-python,bf724236a3fcfdc5bab1a3dddf28e983cbf90038,bf724236a3fcfdc5bab1a3dddf28e983cbf90038^1,1659,Classical,212,66
aws/amazon-braket-sdk-python,5164b39363dd2d8d46152953e066c33789babe8c,5164b39363dd2d8d46152953e066c33789babe8c^1,1660,Classical,51,27
aws/amazon-braket-sdk-python,3ddde05e03643a867c6b4266d835d00ea57c9d67,3ddde05e03643a867c6b4266d835d00ea57c9d67^1,1662,Classical,1,1
aws/amazon-braket-sdk-python,baaccfd47b4ca6a015e6446b580aef3584fede3d,baaccfd47b4ca6a015e6446b580aef3584fede3d^1,1663,Classical,1,1
aws/amazon-braket-sdk-python,ba4cea0217ea96ea825533c6af01f24647bbda90,ba4cea0217ea96ea825533c6af01f24647bbda90^1,1667,Quantum,45,10
aws/amazon-braket-sdk-python,9bdf26cb7e8a0973fe33e880cf0623189a33fe6b,9bdf26cb7e8a0973fe33e880cf0623189a33fe6b^1,1678,Quantum,426,133
aws/amazon-braket-sdk-python,74905c286284164d7a1e05c8c0775474dd093b9b,74905c286284164d7a1e05c8c0775474dd093b9b^1,1680,Classical,20,26
aws/amazon-braket-sdk-python,cc704fa77d1570729f887a230ef9fc60bcff8df5,cc704fa77d1570729f887a230ef9fc60bcff8df5^1,1682,Classical,16,15
unitaryfund/mitiq,1d9640d6be47cd575034e243cfa12e8668cfc9ad,1d9640d6be47cd575034e243cfa12e8668cfc9ad^1,1685,Classical,18,6
unitaryfund/mitiq,5fc12d5e4688ba4006eb4a733379b61c0e9c2b45,5fc12d5e4688ba4006eb4a733379b61c0e9c2b45^1,1687,Quantum,2,4
unitaryfund/mitiq,ce91935c9cc3107eb49f5aad32ded6bf689b777a,ce91935c9cc3107eb49f5aad32ded6bf689b777a^1,1688,Quantum,1,1
unitaryfund/mitiq,03e0d069752a1c92027b5988428ad08249bdd68b,03e0d069752a1c92027b5988428ad08249bdd68b^1,1697,Classical,7,8
unitaryfund/mitiq,4d260bd6545c20f3b1fefc2c843fb67d1296cb45,4d260bd6545c20f3b1fefc2c843fb67d1296cb45^1,1702,Quantum,26,2
